 ****** HSPICE -- O-2018.09-SP2-2 linux64 (May  9 2019) ******
  Copyright (c) 1986 - 2020 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
vw,wm,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
0.3044136,0.07542981,-1.301755,-1.412454,-1.192629
0.3044184,0.07543017,-1.295929,-1.406277,-1.18713
0.3044185,0.07543077,-1.290146,-1.40015,-1.181669
0.3044185,0.07543118,-1.284406,-1.39407,-1.176246
0.3044196,0.0754313,-1.278708,-1.388039,-1.17086
0.304421,0.07543149,-1.273051,-1.382053,-1.165511
0.3044241,0.07543454,-1.267434,-1.376113,-1.160198
0.3044253,0.07543483,-1.261858,-1.370217,-1.15492
0.304427,0.07543492,-1.25632,-1.364366,-1.149676
0.3044276,0.07543531,-1.25082,-1.358557,-1.144467
0.304433,0.07543571,-1.245359,-1.35279,-1.139291
0.3044365,0.07543657,-1.239933,-1.347065,-1.134148
0.3044393,0.07543688,-1.234545,-1.34138,-1.129037
0.3044434,0.07543729,-1.229192,-1.335735,-1.123958
0.3044455,0.07543763,-1.223873,-1.33013,-1.11891
0.3044503,0.07543828,-1.21859,-1.324562,-1.113892
0.3044514,0.07543843,-1.21334,-1.319033,-1.108905
0.3044518,0.07543865,-1.208123,-1.313541,-1.103948
0.3044523,0.07544076,-1.202939,-1.308085,-1.099019
0.3044524,0.07544086,-1.197787,-1.302665,-1.09412
0.3044524,0.07544126,-1.192667,-1.29728,-1.089248
0.3044571,0.07544127,-1.187577,-1.29193,-1.084405
0.3044596,0.07544208,-1.182519,-1.286614,-1.079589
0.3044596,0.07544219,-1.17749,-1.281331,-1.0748
0.3044601,0.07544321,-1.172491,-1.276082,-1.070037
0.3044602,0.07544526,-1.167521,-1.270865,-1.0653
0.3044624,0.07544554,-1.16258,-1.265679,-1.060589
0.3044643,0.07544621,-1.157667,-1.260525,-1.055904
0.3044647,0.07544647,-1.152782,-1.255402,-1.051243
0.3044657,0.0754484,-1.147924,-1.25031,-1.046607
0.304466,0.07544875,-1.143093,-1.245247,-1.041995
0.3044684,0.07544929,-1.138289,-1.240213,-1.037407
0.3044685,0.07544932,-1.13351,-1.235209,-1.032843
0.3044693,0.07544943,-1.128758,-1.230233,-1.028302
0.3044728,0.07544944,-1.124031,-1.225285,-1.023783
0.3044743,0.07544956,-1.119329,-1.220365,-1.019287
0.3044743,0.07545019,-1.114651,-1.215473,-1.014813
0.304476,0.07545041,-1.109998,-1.210607,-1.010361
0.304478,0.07545175,-1.105368,-1.205767,-1.005931
0.3044783,0.07545266,-1.100763,-1.200954,-1.001522
0.3044804,0.07545352,-1.09618,-1.196166,-0.9971336
